id,bien_id,unidad_medida_id,tipo,estado,fecha_creacion,usuario_creacion
4218,63,-1,3,1,"2017-06-28 08:32:18",1
4219,64,-1,3,1,"2017-06-28 08:32:18",1
4220,65,-1,3,1,"2017-06-28 08:32:18",1
4221,66,-1,3,1,"2017-06-28 08:32:18",1
4222,67,-1,3,1,"2017-06-28 08:32:18",1
4223,68,-1,3,1,"2017-06-28 08:32:18",1
4224,69,-1,3,1,"2017-06-28 08:32:18",1
4225,70,-1,3,1,"2017-06-28 08:32:18",1
4226,71,-1,3,1,"2017-06-28 08:32:18",1
4227,72,-1,3,1,"2017-06-28 08:32:18",1
4228,73,-1,3,1,"2017-06-28 08:32:18",1
4229,74,-1,3,1,"2017-06-28 08:32:18",1
4230,75,-1,3,1,"2017-06-28 08:32:18",1
4231,76,-1,3,1,"2017-06-28 08:32:18",1
4232,77,-1,3,1,"2017-06-28 08:32:18",1
4233,78,-1,3,1,"2017-06-28 08:32:18",1
4234,79,-1,3,1,"2017-06-28 08:32:18",1
4235,80,-1,3,1,"2017-06-28 08:32:18",1
4236,81,-1,3,1,"2017-06-28 08:32:18",1
4237,82,-1,3,1,"2017-06-28 08:32:18",1
4238,83,-1,3,1,"2017-06-28 08:32:18",1
4239,84,-1,3,1,"2017-06-28 08:32:18",1
4240,85,-1,3,1,"2017-06-28 08:32:18",1
4241,86,-1,3,1,"2017-06-28 08:32:18",1
4242,87,-1,3,1,"2017-06-28 08:32:18",1
4243,88,-1,3,1,"2017-06-28 08:32:18",1
4244,89,-1,3,1,"2017-06-28 08:32:18",1
4245,90,-1,3,1,"2017-06-28 08:32:18",1
4246,91,-1,3,1,"2017-06-28 08:32:18",1
4247,92,-1,3,1,"2017-06-28 08:32:18",1
4248,93,-1,3,1,"2017-06-28 08:32:18",1
4249,94,-1,3,1,"2017-06-28 08:32:18",1
4250,95,-1,3,1,"2017-06-28 08:32:18",1
4251,96,-1,3,1,"2017-06-28 08:32:18",1
4252,97,-1,3,1,"2017-06-28 08:32:18",1
4253,98,-1,3,1,"2017-06-28 08:32:18",1
4254,99,-1,3,1,"2017-06-28 08:32:18",1
4255,100,-1,3,1,"2017-06-28 08:32:18",1
4256,101,-1,3,1,"2017-06-28 08:32:18",1
4257,102,-1,3,1,"2017-06-28 08:32:18",1
4258,103,-1,3,1,"2017-06-28 08:32:18",1
4259,104,-1,3,1,"2017-06-28 08:32:18",1
4260,105,-1,3,1,"2017-06-28 08:32:18",1
4261,106,-1,3,1,"2017-06-28 08:32:18",1
4262,107,-1,3,1,"2017-06-28 08:32:18",1
4263,108,-1,3,1,"2017-06-28 08:32:18",1
4264,109,-1,3,1,"2017-06-28 08:32:18",1
4265,110,-1,3,1,"2017-06-28 08:32:18",1
4266,111,-1,3,1,"2017-06-28 08:32:18",1
4267,112,-1,3,1,"2017-06-28 08:32:18",1
4268,113,-1,3,1,"2017-06-28 08:32:18",1
4269,114,-1,3,1,"2017-06-28 08:32:18",1
4270,115,-1,3,1,"2017-06-28 08:32:18",1
4271,116,-1,3,1,"2017-06-28 08:32:18",1
4272,117,-1,3,1,"2017-06-28 08:32:18",1
4273,118,-1,3,1,"2017-06-28 08:32:18",1
4274,119,-1,3,1,"2017-06-28 08:32:18",1
4275,120,-1,3,1,"2017-06-28 08:32:18",1
4276,121,-1,3,1,"2017-06-28 08:32:18",1
4277,122,-1,3,1,"2017-06-28 08:32:18",1
4278,123,-1,3,1,"2017-06-28 08:32:18",1
4279,124,-1,3,1,"2017-06-28 08:32:18",1
4280,125,-1,3,1,"2017-06-28 08:32:18",1
4281,126,-1,3,1,"2017-06-28 08:32:18",1
4282,127,-1,3,1,"2017-06-28 08:32:18",1
4283,128,-1,3,1,"2017-06-28 08:32:18",1
4284,129,-1,3,1,"2017-06-28 08:32:18",1
4285,130,-1,3,1,"2017-06-28 08:32:18",1
4286,131,-1,3,1,"2017-06-28 08:32:18",1
4287,132,-1,3,1,"2017-06-28 08:32:18",1
4288,133,-1,3,1,"2017-06-28 08:32:18",1
4289,134,-1,3,1,"2017-06-28 08:32:18",1
4290,135,-1,3,1,"2017-06-28 08:32:18",1
4291,136,-1,3,1,"2017-06-28 08:32:18",1
4292,137,-1,3,1,"2017-06-28 08:32:18",1
4293,138,-1,3,1,"2017-06-28 08:32:18",1
4294,139,-1,3,1,"2017-06-28 08:32:18",1
4295,140,-1,3,1,"2017-06-28 08:32:18",1
4296,141,-1,3,1,"2017-06-28 08:32:18",1
4297,142,-1,3,1,"2017-06-28 08:32:18",1
4298,143,-1,3,1,"2017-06-28 08:32:18",1
4299,144,-1,3,1,"2017-06-28 08:32:18",1
4300,145,-1,3,1,"2017-06-28 08:32:18",1
4301,146,-1,3,1,"2017-06-28 08:32:18",1
4302,147,-1,3,1,"2017-06-28 08:32:18",1
4303,148,-1,3,1,"2017-06-28 08:32:18",1
4304,149,-1,3,1,"2017-06-28 08:32:18",1
4305,150,-1,3,1,"2017-06-28 08:32:18",1
4306,151,-1,3,1,"2017-06-28 08:32:18",1
4307,152,-1,3,1,"2017-06-28 08:32:18",1
4308,153,-1,3,1,"2017-06-28 08:32:18",1
4309,154,-1,3,1,"2017-06-28 08:32:18",1
4310,155,-1,3,1,"2017-06-28 08:32:18",1
4311,156,-1,3,1,"2017-06-28 08:32:18",1
4312,157,-1,3,1,"2017-06-28 08:32:18",1
4313,158,-1,3,1,"2017-06-28 08:32:18",1
4314,159,-1,3,1,"2017-06-28 08:32:18",1
4315,160,-1,3,1,"2017-06-28 08:32:18",1
4316,161,-1,3,1,"2017-06-28 08:32:18",1
4317,162,-1,3,1,"2017-06-28 08:32:18",1
4318,163,-1,3,1,"2017-06-28 08:32:18",1
4319,164,-1,3,1,"2017-06-28 08:32:18",1
4320,165,-1,3,1,"2017-06-28 08:32:18",1
4321,166,-1,3,1,"2017-06-28 08:32:18",1
4322,167,-1,3,1,"2017-06-28 08:32:18",1
4323,168,-1,3,1,"2017-06-28 08:32:18",1
4324,169,-1,3,1,"2017-06-28 08:32:18",1
4325,170,-1,3,1,"2017-06-28 08:32:18",1
4326,171,-1,3,1,"2017-06-28 08:32:18",1
4327,172,-1,3,1,"2017-06-28 08:32:18",1
4328,173,-1,3,1,"2017-06-28 08:32:18",1
4329,174,-1,3,1,"2017-06-28 08:32:18",1
4330,175,-1,3,1,"2017-06-28 08:32:18",1
4331,176,-1,3,1,"2017-06-28 08:32:18",1
4332,177,51,3,1,"2017-06-28 08:32:18",1
4333,178,-1,3,1,"2017-06-28 08:32:18",1
4334,179,-1,3,1,"2017-06-28 08:32:18",1
4335,180,-1,3,1,"2017-06-28 08:32:18",1
4336,181,-1,3,1,"2017-06-28 08:32:18",1
4337,182,-1,3,1,"2017-06-28 08:32:18",1
4338,183,-1,3,1,"2017-06-28 08:32:18",1
4339,184,-1,3,1,"2017-06-28 08:32:18",1
4340,185,-1,3,1,"2017-06-28 08:32:18",1
4341,186,-1,3,1,"2017-06-28 08:32:18",1
4342,187,-1,3,1,"2017-06-28 08:32:18",1
4343,188,-1,3,1,"2017-06-28 08:32:18",1
4344,189,-1,3,1,"2017-06-28 08:32:18",1
4345,190,-1,3,1,"2017-06-28 08:32:18",1
4346,191,-1,3,1,"2017-06-28 08:32:18",1
4347,192,-1,3,1,"2017-06-28 08:32:18",1
4348,193,-1,3,1,"2017-06-28 08:32:18",1
4349,194,-1,3,1,"2017-06-28 08:32:18",1
4350,195,-1,3,1,"2017-06-28 08:32:18",1
4351,196,-1,3,1,"2017-06-28 08:32:18",1
4352,197,-1,3,1,"2017-06-28 08:32:18",1
4353,198,49,3,1,"2017-06-28 08:32:18",1
4354,199,-1,3,1,"2017-06-28 08:32:18",1
4355,200,-1,3,1,"2017-06-28 08:32:18",1
4356,201,-1,3,1,"2017-06-28 08:32:18",1
4357,202,-1,3,1,"2017-06-28 08:32:18",1
4358,203,-1,3,1,"2017-06-28 08:32:18",1
4359,204,-1,3,1,"2017-06-28 08:32:18",1
4360,205,-1,3,1,"2017-06-28 08:32:18",1
4361,206,-1,3,1,"2017-06-28 08:32:18",1
4362,207,16,3,1,"2017-06-28 08:32:18",1
4363,207,33,3,1,"2017-06-28 08:32:18",1
4364,208,51,3,1,"2017-06-28 08:32:18",1
4365,209,51,3,1,"2017-06-28 08:32:18",1
4366,210,51,3,1,"2017-06-28 08:32:18",1
4367,211,-1,3,1,"2017-06-28 08:32:18",1
4368,212,-1,3,1,"2017-06-28 08:32:18",1
4369,213,-1,3,1,"2017-06-28 08:32:18",1
4370,214,-1,3,1,"2017-06-28 08:32:18",1
4371,215,-1,3,1,"2017-06-28 08:32:18",1
4372,216,-1,3,1,"2017-06-28 08:32:18",1
4373,217,-1,3,1,"2017-06-28 08:32:18",1
4374,218,16,3,1,"2017-06-28 08:32:18",1
4375,219,-1,3,1,"2017-06-28 08:32:18",1
4376,220,-1,3,1,"2017-06-28 08:32:18",1
4377,221,-1,3,1,"2017-06-28 08:32:18",1
4378,225,-1,3,1,"2017-06-28 08:32:18",1
4379,226,-1,3,1,"2017-06-28 08:32:18",1
4380,227,-1,3,1,"2017-06-28 08:32:18",1
4381,228,-1,3,1,"2017-06-28 08:32:18",1
4382,229,-1,3,1,"2017-06-28 08:32:18",1
4383,230,-1,3,1,"2017-06-28 08:32:18",1
4384,231,-1,3,1,"2017-06-28 08:32:18",1
4385,232,-1,3,1,"2017-06-28 08:32:18",1
4386,233,-1,3,1,"2017-06-28 08:32:18",1
4387,234,-1,3,1,"2017-06-28 08:32:18",1
4388,235,-1,3,1,"2017-06-28 08:32:18",1
4389,236,-1,3,1,"2017-06-28 08:32:18",1
4390,237,-1,3,1,"2017-06-28 08:32:18",1
4391,238,-1,3,1,"2017-06-28 08:32:18",1
4392,239,-1,3,1,"2017-06-28 08:32:18",1
4393,240,-1,3,1,"2017-06-28 08:32:18",1
4394,241,-1,3,1,"2017-06-28 08:32:18",1
4395,242,-1,3,1,"2017-06-28 08:32:18",1
4396,243,-1,3,1,"2017-06-28 08:32:18",1
4397,244,-1,3,1,"2017-06-28 08:32:18",1
4398,245,-1,3,1,"2017-06-28 08:32:18",1
4399,246,-1,3,1,"2017-06-28 08:32:18",1
4400,247,-1,3,1,"2017-06-28 08:32:18",1
4401,248,-1,3,1,"2017-06-28 08:32:18",1
4402,249,-1,3,1,"2017-06-28 08:32:18",1
4403,250,-1,3,1,"2017-06-28 08:32:18",1
4404,251,51,3,1,"2017-06-28 08:32:18",1
4405,252,-1,3,1,"2017-06-28 08:32:18",1
4406,253,26,3,1,"2017-06-28 08:32:18",1
4407,254,24,3,1,"2017-06-28 08:32:18",1
4408,255,-1,3,1,"2017-06-28 08:32:18",1
4409,256,-1,3,1,"2017-06-28 08:32:18",1
4410,257,-1,3,1,"2017-06-28 08:32:18",1
4411,258,51,3,1,"2017-06-28 08:32:18",1
4412,259,-1,3,1,"2017-06-28 08:32:18",1
4413,260,-1,3,1,"2017-06-28 08:32:18",1
4414,261,-1,3,1,"2017-06-28 08:32:18",1
4415,262,-1,3,1,"2017-06-28 08:32:18",1
4416,263,-1,3,1,"2017-06-28 08:32:18",1
4417,264,-1,3,1,"2017-06-28 08:32:18",1
4418,265,-1,3,1,"2017-06-28 08:32:18",1
4419,266,-1,3,1,"2017-06-28 08:32:18",1
4420,267,-1,3,1,"2017-06-28 08:32:18",1
4421,268,-1,3,1,"2017-06-28 08:32:18",1
4422,269,-1,3,1,"2017-06-28 08:32:18",1
4423,270,-1,3,1,"2017-06-28 08:32:18",1
4424,271,-1,3,1,"2017-06-28 08:32:18",1
4425,272,-1,3,1,"2017-06-28 08:32:18",1
4426,273,-1,3,1,"2017-06-28 08:32:18",1
4427,274,-1,3,1,"2017-06-28 08:32:18",1
4428,275,-1,3,1,"2017-06-28 08:32:18",1
4429,276,-1,3,1,"2017-06-28 08:32:18",1
4430,277,-1,3,1,"2017-06-28 08:32:18",1
4431,278,-1,3,1,"2017-06-28 08:32:18",1
4432,279,-1,3,1,"2017-06-28 08:32:18",1
4433,280,-1,3,1,"2017-06-28 08:32:18",1
4434,281,37,3,1,"2017-06-28 08:32:18",1
4435,281,-1,3,1,"2017-06-28 08:32:18",1
4436,282,-1,3,1,"2017-06-28 08:32:18",1
4437,283,-1,3,1,"2017-06-28 08:32:18",1
