id,descripcion,estado,fecha_creacion,usuario_creacion
-3,Contacto,1,"2016-05-10 09:37:14",1
-2,Colaborador,1,"2015-08-07 11:21:23",1
-1,Proveedor,1,"2015-08-11 13:00:05",0
16,Cliente,1,"2015-08-14 09:24:15",1
